id,post_id,price,bedrooms,bathrooms,sqft,zip_code,neighborhood,full_description,scraped_date,avg_median_income,crime_count_2025,population_2025
55923,7899583201,995,0.0,,100.0,94103,SOMA / south beach,"QR Code Link to This Post
Hello!
Looking for a convenient and affordable CoLiving option in San Francisco? Check out our residence on 7th Street, located in the heart of SoMa with easy access to transit, food, shopping, and everything the city has to offer.
🏠 Availability & Pricing (3-Month Minimum)
Private Single Rooms: $995/month
Double Rooms: $1195/month
Beds in Triple Rooms: $645/month
Deposit: Equal to one month’s rent
Short-term leases available—ask for details
✨ Special Offer: Get a $150 one-time credit when you book a private single for 6 months (Ends Dec 31).
No added fees.
✔ What’s Included
All utilities: WiFi, power, water, trash, maintenance, security
Daily cleaning of common areas
Fully furnished rooms with bed, bedding, desk/chair, fridge, storage, sink & vanity
Shared amenities:
Full kitchen (also used as study/work area)
Coin-op laundry
Two full bathrooms per floor
~10 rooms on each floor
Photos in this listing show a mix of room types—come tour to see what’s available.
📍 Location
7th Street and Folsom, San Francisco, CA
Walk Score 98
Transit Score 100
Bike Score 99
No on-site parking; street/metered parking only. Freeway access within a few blocks.
📞 Interested?
Reply with your name, email, move-in date, and length of stay.
Our leasing manager will reach out to schedule an in-person or virtual tour with our building manager.
You can also find us online under Urbanests CoLiving—please mention this Craigslist ad.
✔ Requirements
$30 application fee (third-party screening)
650+ credit score
Income 3× the rent",2025-12-03 00:47:33,129146.43,9483,3481
55924,7899579596,995,1.0,,100.0,94133,north beach / telegraph hill,"QR Code Link to This Post
Holiday Specials Start Today!
Single rooms, 6-month leases!
Holiday Specials - Save up to $300!
Great Networking Opportunity!
This beautifully remodeled room is located right in the heart of North Beach with views of Columbus Ave now renting singles for $995/month. Rooms for 2 - $1195/month, Double and Triple occupancy also available upon request. Please inquire about pricing. Images in the post are sample configurations of rooms with increased occupancy.
Units have a shared bathroom and a brand-new community kitchen just down the hall. ALL utilities are included plus wifi.
The location is in the highly desired North Beach with Washington Square, famous restaurants, antique shops, and entertainment within minutes. Fisherman's Wharf, Financial District, and Chinatown are all just blocks away.
Contact Urbanests to see your new home!
show contact info
or reply to this post.
Application fee $30, Credit Requirement 650, Income to Rent 3:1.
Keywords: San Francisco, North Beach, Washington Square, Fishermans Wharf, Chinatown, additional spaces for rent in the San Francisco area, SOMA, 94133, 94103, Coliving Space San Francisco, private room, shared bathrooms, community, social kitchen, rent, short term, long term, temporary space, on-site manager, affordable, furnished, utilities included, bed linens included, common areas cleaned daily, cheap, private, student housing, tech housing, for rent, multiple units, housing for students, affordable housing, student rooms for rent, international housing.",2025-12-03 00:47:33,116675.28,1370,2842
55925,7899567064,995,0.0,,100.0,94102,north beach / telegraph hill,"QR Code Link to This Post
Snag this private room with shared bathrooms for $995/month in the Heart of SOMA if you book and move by 12/31.  Hurry before rates go up in January!
Large common kitchen to eat, sit, relax. Well-lit, furnished, Laundry onsite. ALL Inclusive, All utilities and Wifi included. Daily cleaning of common space. NO ADDED FEES!
It is conveniently located close to 280 and 101 freeways. Walking distance to Financial District, Union Square, and Downtown. All major public transportation nearby.
Double occupancy is available at $1195/month.
Images in post are sample rooms that show a variety of layouts. Come and see some for yourself!
Credit Requirements 650, Income to rent ratio 3:1 and Application fee $30
Contact us to book your tour!
Call UrbaNests at
show contact info
Keywords: San Francisco, SOMA, Washington Square, Fishermans Wharf, Chinatown, additional spaces for rent in the San Francisco area, North Beach, 94133, 94103, Coliving Space San Francisco, private room, shared bathrooms, community, social kitchen, rent, short term, long term, temporary space, on-site manager, affordable, furnished, utilities included, bed linens included, common areas cleaned daily, cheap, private, student housing, tech housing, for rent, multiple units, housing for students, affordable housing, student rooms for rent, international housing.",2025-12-03 00:47:33,76611.4,6937,3367
55927,7899505707,995,1.0,,110.0,94103,north beach / telegraph hill,"QR Code Link to This Post
Snag this private room with shared bathrooms for $995/month in the Heart of SOMA if you book and move by 12/31.
Large common kitchen to eat, sit, relax. Well-lit, furnished, with a kitchenette. ALL Inclusive, All utilities and Wifi included. Daily cleaning of common space. NO ADDED FEES!
It is conveniently located close to 280 and 101 freeways. Walking distance to Financial District, Union Square, and Downtown. All major public transportation nearby.
Double occupancy is available at $1195/month.
Credit Requirements 650, Income to rent ratio 3:1 and Application fee $30
Contact us to book your tour!
Call UrbaNests at
show contact info
Keywords: San Francisco, SOMA, Washington Square, Fishermans Wharf, Chinatown, additional spaces for rent in the San Francisco area, North Beach, 94133, 94103, Coliving Space San Francisco, private room, shared bathrooms, community, social kitchen, rent, short term, long term, temporary space, on-site manager, affordable, furnished, utilities included, bed linens included, common areas cleaned daily, cheap, private, student housing, tech housing, for rent, multiple units, housing for students, affordable housing, student rooms for rent, international housing.",2025-12-03 00:47:33,129146.43,9483,3481
55928,7899490423,995,0.0,,100.0,94103,SOMA / south beach,"QR Code Link to This Post
ALL SINGLE ROOMS NOW $995!
Join our little community in this great 21-unit building in the heart of San Francisco.
Within walking distance from Downtown, Financial District, Union Square and more!
Just blocks from both freeway entrances.
This room is priced generously at $995. Single room with shared bathrooms, a shared kitchen and social area, and laundry onsite.
Come take a look at your new home today! Call Urbanests Co-living today at
show contact info
Application fee $30, Credit requirements 650, Income to Rent 3:1
san francisco apartments, zillow san francisco ca, apartments for rent san francisco, san francisco housing, craigslist san francisco apartments, apartments mission bay, studio apartments san francisco, low income housing san francisco, zillow rentals san francisco",2025-12-03 00:47:33,129146.43,9483,3481
55929,7899476027,920,0.0,,,94133,north beach / telegraph hill,"QR Code Link to This Post
HOTEL NORTH BEACH MONTHLY RENTAL
All rooms are with shared baths
Rooms starting at 920 per month
Deep in the heart of North Beach, 935 Kearny offers well-appointed efficiency with shared baths - there is a sink in each unit with individual restrooms and showers down the hall. Located within Hotel North Beach, the units are loaded with classic Victorian details and tall double-hung windows offering tons of natural light and city views. All units have electricity, water, and cable, with on-site laundry available.
The neighborhood just can’t be beaten! Located at Kearny and Columbus, the building is steeped in quirky boutiques, fantastic eateries, storied taverns, and Beatnik history. Nestled between Fisherman’s Wharf and the Financial District-transit is a breeze with easy access to Montgomery Street BART, and several Muni cable car and bus lines.
WHAT YOU'LL GET:
-Utilities Included
-Free Wi-Fi
-Laundry on site
-Rent Control
-Sink, Refrigerator, Microwave In Unit
-24-hour Front Desk
- Walk Score and Transit Score 100!
Lease Terms
-Lease: monthly
-Income: 1.75 x Rent
-Utilities: included
-Deposit: 1x Rent, 2x w/Guarantor
-Proof of Income: Offer Letter, Pay Stubs
Click on the link to apply on line:
https://hotelnorthbeach.securecafe.com/onlineleasing/north-beach-hotel/guestlogin.aspx
*Call, Walk-In or Email to Schedule a Viewing Appointment
show contact info
*Price and Availability are Subject to Change
*Photos might be of similar unit",2025-12-03 00:47:33,116675.28,1370,2842
55930,7899456630,995,1.0,,120.0,94110,mission district,"QR Code Link to This Post
Now is your chance to gain a unique experience in this historic building in the Mission.
With beautiful high ceilings, ornate interiors, lovely murals, and a newly installed kitchen.
Rents down to $995 on your 6-month lease!
Property:
Historical Building with ornate interiors
Intricate designs throughout
High Ceilings
Brightly lit rooms
Fully Furnished with Bed, Vanity, Wardrobe, and Bedding
All utilities included with Wifi
Shared Kitchen, Newly Installed
Shared Bathrooms
Laundry in building
Keycode Entrance
Location:
Located in the highly desired neighborhood of Mission/Valencia
Walking distance to public transit, Bart & Muni
Bike lanes on streets
Various local and high-end restaurants, cafes, and stores scatter the surrounding blocks.
Convenient public parking lot just on 21st between Mission and Valencia
Call us for a showing of this beautiful building!
Tony
show contact info",2025-12-03 00:47:33,150343.21,7034,3692
55942,7894485493,920,0.0,,,94133,north beach / telegraph hill,"QR Code Link to This Post
HOTEL NORTH BEACH MONTHLY RENTAL
All rooms are with shared baths
Rooms starting at 920 per month
I N C L U D E D
Cable TV
Microwave
Refrigerator
Complimentary Wi-Fi
Utilities
Work desk
L O C A T I O N
Heart of North Beach ""Little Italy""
Close to the Financial District
Close to Fisherman's Wharf
Close to Chinatown
Washers and dryers on site
Click on the link to apply on line:
https://hotelnorthbeach.securecafe.com/onlineleasing/north-beach-hotel/guestlogin.aspx
*Call, Walk-In or Email to Schedule a Viewing Appointment
show contact info
*Price and Availability are Subject to Change
*Photos might be of similar unit
© craigslist - Map data © OpenStreetMap
935 Kearny near Columbus
google map
show contact info",2025-12-03 00:47:33,116675.28,1370,2842
55948,7899164617,950,0.0,,100.0,94108,financial district,"QR Code Link to This Post
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-viewing.com/lc/f14e5d1066
No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.
One Month Free!! Centrally Located, Renovated SRO near Financial District & Chinatown!
706 Kearny Street 134, San Francisco, CA, 94108
$950 per month
Available now
Studio
100 sq. ft.
Deposit $950.0
TO SCHEDULE A SHOWING, please paste the following link into your browser:
https://showmojo.com/l/f14e5d1066
MULTIPLE UNITS AVAILABLE! STARTING AS LOW AS $950/month
*PROMOTION: 1 MONTH FREE ON A 13-MONTH LEASE!**
(Must move-in within two weeks after application is approved)
Unit #134 is an interior-facing private room located in an SRO (Single room occupancy) building with a countertop, under-sink storage, and a closet. The units are private, and the kitchen and bathrooms are communal.
Structure Properties is pleased to present the newly-renovated Jackson Square Commons located at 706 Kearny Street! Modern decor paired with a prime Financial District location makes this a truly one-of-a-kind community. The new renovation features high ceilings, modern engineered flooring, vanity with granite countertop and closet storage. The building boasts a beautifully designed resident lounge that has been meticulously decorated for coziness and comfort, offering the perfect place to enjoy the company of your neighbors and friends. The shared, single-stall restrooms and showers feature bright tile and ultimate privacy. The kitchen provides new cooktops, stainless microwaves and toaster ovens and a deep sink with drying area. We are pleased to offer custom-designed furniture packages for a small monthly fee, making your move stress and hassle free!
Jackson Square Commons is located within walking distance to Chinatown, BART, The Ferry Building and multiple major Muni lines. Also within walking distance you'll find multiple grocery options, vibrant shopping and arguably the City's best farmers market open on Tuesdays, Thursdays and Saturdays.
Lease Terms:
One-year lease with no utilities included. This is a non-smoking community. No pets allowed.
REQUIRED QUALIFICATIONS:
Credit Score of 650+
Monthly income of 2.5x the amount of rent
Positive references
CONTACT:
Fanny Chun - Leasing Agent
show contact info
CA DRE #02243211
Structure Properties, Inc.
3727 Buchanan Street, Floor 4
San Francisco, CA 94123
www.structureproperties.com
CA DRE #01961414
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy.
None Included
Lease Terms
. No dogs
. No cats
Contact Us:
show contact info
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-viewing.com/lc/f14e5d1066",2025-12-03 00:47:33,74320.49,2037,2500
55949,7899164581,899,0.0,,,94111,financial district,"QR Code Link to This Post
See more photos and
SCHEDULE A SHOWING
at:
http://showinghotline.com/lc/565e1e8065
No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.
One Month Free!! Private Room near Financial District!
668 Clay Street - 85, San Francisco, CA, 94111
$899 per month
Available now
Studio
Deposit $899.0
TO SCHEDULE A SHOWING, please paste the following link into your browser:
https://showmojo.com/l/565e1e8065
*PROMOTION: 1 MONTH FREE ON A 13-MONTH LEASE!**
(Must move-in within two weeks after application is approved)
MULTIPLE UNITS AVAILABLE! STARTING AS LOW AS $899/month
Welcome to the Residences at Pyramid Commons! Come live in this renovated co-living space. Carefully crafted for the urbanite on the go, the Residences at Pyramid Commons strike the perfect balance of modern and cozy. Each room features freshly finished floors, new paint and a brand-new granite vanity. Next to the vanity is a tall closet that provides plenty of storage space. The shared bathrooms are lined with subway tile, and feature new private shower stalls, stone countertops and modern finishes. The two community kitchens, also brand new, feature industrial cooktops, stainless steel countertops and a small dining area.
Please note that all units are private, while the kitchen and bathrooms are communal.
NEIGHBORHOOD: Financial District
The Residences are located at 668 Clay Street, nestled right between the Financial District and Chinatown, in the shadow of the iconic TransAmerica Pyramid. Destinations by foot are endless, with the Embarcadero and the vibrant shopping scene of Union Square just blocks away. Take a breather from all of the action by strolling the waterfront or picking up fresh produce at the Ferry Building's weekly farmer's market! Decades of culture as well as amazing food and ambiance are just steps away from your front door. The proximity to Market St offers plenty of public transit options via Muni Metro, BART and Golden Gate Transit.
DETAILS:
*PROMOTION: 1 MONTH FREE ON A 13-MONTH LEASE!**
-Single room occupancy, with shared kitchen and bathrooms
-Deposit: Equivalent to One Month's Rent
-Utilities not included
-This is a non-smoking community
QUALIFICATIONS:
-Credit Score of 650+
-Monthly income of 2.5x the amount of rent
-Positive references
CONTACT:
Fanny Chun - Leasing Agent
show contact info
CA DRE# 02243211
Structure Properties, Inc.
3727 Buchanan Street, Floor 4
San Francisco, CA 94123
structureproperties.com
CA DRE #01961414
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy.
None Included
Lease Terms
. No dogs
. No cats
Contact Us:
show contact info
See more photos and
SCHEDULE A SHOWING
at:
http://showinghotline.com/lc/565e1e8065",2025-12-03 00:47:33,160621.63,3581,2967
